month,day,player,year_born,years_played,games_played,field_goals,field_goal_attempts,3point_field_goals,3point_field_goal_attempts,free_throws,free_throw_attempts,offensive_rebounds,steals,blocks,turnovers,personal_fouls,win_shares,field_goal_percent,3point_field_goal_percent,free_throw_percent,minutes_played_per_game,points_per_game,total_rebounds_per_game,assists_per_game,points,minutes_played,total_rebounds,assists,age,city,region,position,college,team_recent,dunkattempts,championship,sex,status,height_default,height_cm,weight_kg,weight_lb
January,1,Dan Anderson,1951,2,95,135,286,,,77,91,23,36,3,,102,1.6,0.472,,0.846,11.2,3.7,1,1.7,347,1067,91,166,74,,,Point Guard,USC,Portland Trail Blazers,,no,male,Alive,6-2,188,83,185
January,1,Dan Anderson,1951,2,95,135,286,,,77,91,23,36,3,,102,1.6,0.472,,0.846,11.2,3.7,1,1.7,347,1067,91,166,74,,,Shooting Guard,USC,Portland Trail Blazers,,no,male,Alive,6-2,188,83,185
January,1,Chris Anstey,1975,3,155,303,734,4,29,203,269,178,78,65,147,373,2.8,0.413,0.138,0.755,13.9,5.2,3.4,0.8,813,2157,534,127,50, Melbourne, Australia,Center,,Dallas Mavericks,45,no,male,Alive,7-0,213,112,249
January,1,Kobe Brown,2000,2,59,58,134,18,63,4,6,33,15,8,14,63,0.8,0.433,0.286,0.667,9.1,2.3,1.8,0.6,149,581,110,41,25, Huntsville, Alabama,Power Forward,Missouri,Los Angeles Clippers,13,no,male,Alive,6-7,201,113,250
January,1,Jim Browne,1930,2,35,18,50,,,14,29,,,,,20,0.1,0.36,,0.483,,1.4,,0.2,1.4,,,0.2,73, Midlothian, Illinois,Center,,Denver Nuggets,,no,male,Dead,6-10,208,106,235
January,1,Leroy Combs,1961,1,48,81,163,0,3,56,91,19,23,18,46,49,0.4,0.497,0,0.615,9.3,4.5,1.2,0.8,218,446,56,38,64, Oklahoma City, Oklahoma,Small Forward,Oklahoma State,Indiana Pacers,,no,male,Alive,6-8,203,95,210
January,1,Rick Darnell,1953,1,11,11,30,0,0,4,7,12,5,3,14,30,-0.1,0.367,,0.571,10.9,2.4,3.3,0.8,26,120,36,9,72,,,Center,,Virginia Squires,,no,male,Alive,6-10,208,97,215
January,1,Glen Davis,1986,8,514,1614,3611,10,55,873,1247,731,357,173,528,1238,18.6,0.447,0.182,0.7,21.1,8,4.4,0.9,4111,10865,2236,457,39, Baton Rouge, Louisiana,Power Forward,LSU,Boston Celtics,69,no,male,Alive,6-9,206,131,289
January,1,Glen Davis,1986,8,514,1614,3611,10,55,873,1247,731,357,173,528,1238,18.6,0.447,0.182,0.7,21.1,8,4.4,0.9,4111,10865,2236,457,39, Baton Rouge, Louisiana,Center,LSU,Boston Celtics,69,no,male,Alive,6-9,206,131,289
January,1,Travis Grant,1950,4,201,1183,2257,2,6,399,492,284,106,51,261,396,11.6,0.524,,0.811,21.4,13.8,4.1,1,2767,4309,819,211,75, Clayton, Alabama,Small Forward,Kentucky State University,Los Angeles Lakers,,no,male,Alive,6-7,201,97,215
